TILEMAP
16 16 							-- Size of tile map in tiles
16 32 							-- Tile size & block size
images/tilemap.png 	-- Tilesheet
4 4 								-- Number of tiles in tilesheet
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,
15, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0,15,
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,
15, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0,15,
15, 0, 0,V, 0, 0, 0, 2, 2, 0, 0, 0,V, 0, 0,15,
15, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0,15,
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,
15, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0,15,
15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,
15, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0,15,
15, 0, 0, 0,W, 0, 0, 0, 0, 0, 0,S, 0, 0, 0,15,
15, 1, 1, 1, 1, 1, 9, 9, 9, 9, 1, 1, 1, 1, 1,15,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,

